close,time,volume
2167.73,1591016400,106160787
2207.76,1591102800,190032425
2262.71,1591189200,240604681
2238.72,1591275600,207141677
2299.4,1591362000,177657695
2363.65,1591621200,199784685
2315.48,1591707600,183857661
2253.38,1591794000,161931413
2166.16,1591880400,161687176
2218.84,1591966800,153889287
2197.23,1592226000,140430251
2235.82,1592312400,160081167
2232.32,1592398800,124586641
2216.82,1592485200,125328292
2267.26,1592571600,837183451
2245.74,1592830800,118258392
2256.53,1592917200,131069667
2235.68,1593003600,123201760
2223.85,1593090000,86655282
2206.48,1593176400,95689378
2226.48,1593435600,86233001
2225.66,1593522000,163304336
2218.68,1593608400,144291172
2235.61,1593694800,140570008
2236.56,1593781200,15274287
2234.34,1594040400,107452009
2231.43,1594126800,118396743
2215.04,1594213200,156819522
2169.27,1594299600,114693405
2149.42,1594386000,89285829
2151.92,1594645200,133115086
2136.46,1594731600,148036157
2153.81,1594818000,175996277
2144.89,1594904400,142324910
2138.22,1594990800,101511276
2129.55,1595250000,95672983
2159.39,1595336400,137784130
2193.89,1595422800,97519944
2194.6,1595509200,92099216
2194.39,1595595600,92583885
2220.79,1595854800,138440557
2233.72,1595941200,128291313
2232.29,1596027600,132188765
2194.77,1596114000,81969219
2193.72,1596200400,251245176
2231.98,1596459600,132919318
2231.61,1596546000,155890405
2258.15,1596632400,120138497
2266.73,1596718800,104958636
2263.44,1596805200,77127298
2288.14,1597064400,75686420
2316.61,1597150800,113566452
2309.55,1597237200,83379370
2309.72,1597323600,83190279
2335.47,1597410000,103508700
2359.47,1597669200,111404923
2347.71,1597755600,160686431
2343.91,1597842000,109793433
2324.17,1597928400,100605351
2284.86,1598014800,79532511
2281.57,1598274000,90412970
2298.59,1598360400,127909426
2266.55,1598446800,118858911
2260.38,1598533200,103739382
2266.44,1598619600,78769666
